Q (mW/m2),U (mW/m2),X,Y,Lat,Lon
90.323,58.119,792831,-2498924,-66.205,162.397
94.77,57.602,772759,-2478853,-66.427,162.686
85.54,59.318,792831,-2478853,-66.374,162.264
97.007,68.948,732616,-2458781,-66.701,163.408
95.476,61.008,752688,-2458781,-66.649,162.979
97.282,64.829,732616,-2438709,-66.871,163.279
87.897,45.026,652329,-2418638,-67.236,164.906
87.398,46.558,672401,-2418638,-67.189,164.464
82.221,43.126,652329,-2398566,-67.408,164.785
55.931,31.087,1033691,-2157706,-68.235,154.402
56.195,25.026,1053763,-2157706,-68.157,153.97
55.764,25.662,853046,-2137634,-69.045,158.245
50.537,26.492,1013620,-2137634,-68.473,154.631
49.334,23.104,1033691,-2137634,-68.396,154.193
50.799,22.838,1053763,-2137634,-68.317,153.759
59.532,27.387,772759,-2117562,-69.467,159.952
59.075,27.571,792831,-2117562,-69.405,159.474
54.714,23.109,812903,-2117562,-69.342,158.999
54.072,23.398,832974,-2117562,-69.277,158.527
50.67,22.71,853046,-2117562,-69.211,158.058
52.078,25.742,873118,-2117562,-69.143,157.593
53.106,24.695,893189,-2117562,-69.074,157.13
53.656,23.697,913261,-2117562,-69.004,156.67
49.233,21.359,933333,-2117562,-68.933,156.214
50.983,21.0,953405,-2117562,-68.86,155.761
50.195,21.021,973476,-2117562,-68.786,155.311
50.346,21.524,993548,-2117562,-68.711,154.864
49.31,22.005,1013620,-2117562,-68.634,154.421
49.479,20.515,1033691,-2117562,-68.556,153.981
49.648,22.911,1053763,-2117562,-68.477,153.544
61.684,30.095,752688,-2097491,-69.697,160.259
59.623,28.197,772759,-2097491,-69.635,159.775
53.601,24.404,792831,-2097491,-69.573,159.294
52.424,21.597,812903,-2097491,-69.509,158.816
52.926,23.983,832974,-2097491,-69.443,158.341
52.34,21.822,853046,-2097491,-69.377,157.868
57.584,26.512,873118,-2097491,-69.308,157.4
57.08,22.551,893189,-2097491,-69.239,156.934
58.514,25.744,913261,-2097491,-69.168,156.471
53.958,21.08,933333,-2097491,-69.096,156.012
54.725,22.463,953405,-2097491,-69.023,155.556
48.488,20.7,973476,-2097491,-68.948,155.103
46.394,19.685,993548,-2097491,-68.872,154.654
48.645,18.958,1013620,-2097491,-68.795,154.208
46.089,22.924,1033691,-2097491,-68.717,153.765
48.091,18.8,1053763,-2097491,-68.637,153.325
57.009,26.431,1154121,-2097491,-68.221,151.179
83.564,37.272,491756,-2077419,-70.534,166.682
76.381,34.681,511827,-2077419,-70.491,166.159
83.437,41.161,531899,-2077419,-70.448,165.639
78.8,36.729,551971,-2077419,-70.402,165.12
72.985,34.524,612186,-2077419,-70.257,163.58
65.303,30.143,652329,-2077419,-70.153,162.567
64.615,31.583,672401,-2077419,-70.098,162.065
61.665,28.429,712544,-2077419,-69.985,161.068
60.996,27.996,732616,-2077419,-69.926,160.574
57.137,22.045,752688,-2077419,-69.865,160.084
